Area_SqFt,Bedrooms,Age_Years,Location,Price
2048.0,5,15,Rural,340700.0
1730.0,5,28,Suburbs,398100.0
2123.0,1,12,Rural,293600.0
2561.0,5,13,Suburbs,496100.0
1682.0,5,2,Downtown,452600.0
,5,28,Rural,323200.0
,3,5,Suburbs,520800.0
,4,17,Suburbs,420100.0
,2,18,Rural,208400.0
,3,4,Downtown,457500.0
,5,14,Downtown,450200.0
1567.0,1,24,Downtown,296700.0
1920.0,5,1,Suburbs,433100.0
843.0,4,9,Suburbs,157600.0
937.0,5,23,Suburbs,232200.0
1518.0,1,29,Suburbs,233600.0
1293.0,4,17,Downtown,385300.0
1957.0,5,26,Rural,326900.0
1345.0,4,12,Suburbs,249800.0
1093.0,2,4,Suburbs,202600.0
2532.0,2,22,Downtown,455300.0
1687.0,5,23,Rural,306700.0
1833.0,4,0,Rural,334800.0
1087.0,1,21,Downtown,209900.0
1527.0,5,0,Downtown,454200.0
1855.0,2,17,Rural,263900.0
1224.0,2,14,Suburbs,243800.0
1987.0,5,16,Rural,317700.0
1499.0,4,10,Downtown,367400.0
1654.0,2,20,Suburbs,287000.0
1499.0,4,25,Suburbs,274900.0
2726.0,2,24,Downtown,506000.0
1793.0,2,21,Downtown,373800.0
1271.0,3,26,Downtown,318400.0
2211.0,2,26,Rural,293500.0
1189.0,1,16,Rural,147900.0
1904.0,5,12,Suburbs,376600.0
820.0,5,0,Downtown,344900.0
1135.0,4,1,Suburbs,266200.0
1898.0,2,8,Suburbs,329000.0
2169.0,1,2,Suburbs,412200.0
1885.0,4,0,Suburbs,355100.0
1742.0,3,20,Downtown,427000.0
1649.0,4,15,Suburbs,262900.0
1060.0,4,22,Downtown,260600.0
1440.0,2,5,Downtown,309000.0
1569.0,3,27,Rural,208500.0
2328.0,4,16,Downtown,515100.0
1971.0,1,4,Rural,283100.0
918.0,1,4,Downtown,231500.0
1962.0,5,5,Downtown,489600.0
1607.0,3,2,Downtown,406800.0
1461.0,3,20,Rural,251000.0
2105.0,5,22,Rural,341200.0
