fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.1,0.38,0.17,1.2,0.123,21,73,0.9965,3.21,0.77,12.2,5
8.1,0.42,0.54,2.8,-0.047,26,58,0.9964,3.25,0.72,10.2,6
9.4,0.65,0.54,0.6,0.141,21,158,0.9968,3.23,0.73,9.6,7
10.9,0.62,0.48,7.5,0.005,18,83,0.999,3.33,0.56,9.7,5
7.9,0.52,0.52,3.9,0.07,37,14,0.9948,3.19,0.28,9.3,5
7.9,0.54,0.41,0.2,0.034,32,109,0.9972,3.48,0.84,9.6,7
11.0,0.74,0.19,1.4,0.026,36,79,0.9987,3.31,0.57,10.0,4
9.6,0.42,0.26,5.3,0.142,17,99,0.9977,3.31,0.5,9.0,5
7.5,0.61,0.14,7.2,0.065,35,13,0.9971,3.26,0.77,10.4,5
9.2,0.49,0.68,1.6,0.103,11,135,0.9987,3.33,0.58,11.3,6
7.5,0.48,0.44,2.4,0.085,21,48,0.9913,3.43,0.83,9.5,5
7.5,0.71,0.3,0.5,0.109,26,138,0.9981,3.18,0.75,11.9,7
8.7,0.66,0.35,11.8,0.091,4,33,0.9954,3.21,0.77,10.9,5
5.0,0.66,0.71,0.7,0.027,34,66,0.993,3.26,0.42,11.4,6
5.4,0.74,0.12,7.2,0.134,18,109,0.9977,3.11,0.86,9.7,5
7.3,0.52,0.44,2.6,0.064,40,79,0.9994,3.19,0.69,11.3,5
6.6,0.64,0.38,2.3,0.014,35,50,0.9964,3.24,0.59,9.3,6
8.8,0.47,0.46,1.8,0.067,41,69,0.9986,3.44,0.67,11.3,6
6.8,0.58,0.01,0.7,0.158,29,117,0.9999,3.35,0.35,10.6,6
5.9,0.5,0.65,0.5,0.127,29,66,0.9993,3.34,0.72,11.0,6
10.8,0.54,0.7,0.6,0.071,38,40,1.0,3.44,0.48,9.2,7
7.9,0.62,0.42,0.5,0.071,42,93,0.9982,3.29,0.42,9.5,6
8.4,0.38,0.52,3.8,0.072,21,45,0.9969,3.37,0.39,11.0,6
5.9,0.88,0.69,1.1,0.185,42,117,0.9935,3.29,0.84,9.5,4
7.4,0.35,0.53,0.1,0.105,13,115,0.9962,3.35,0.54,10.9,3
8.5,0.31,0.11,8.7,0.107,41,95,0.995,3.22,0.91,9.0,5
6.3,0.72,0.43,5.4,0.135,17,144,1.001,2.94,0.56,11.2,6
8.9,0.65,0.46,6.6,0.098,9,23,0.9963,3.29,0.36,9.2,5
7.3,0.63,0.32,13.2,0.075,41,129,0.9969,3.52,0.46,11.0,5
7.8,0.63,0.55,0.5,0.078,1,147,0.9978,3.45,0.86,11.0,6
7.3,0.52,0.7,1.3,0.084,2,89,0.9968,3.45,0.62,9.7,7
11.4,0.37,0.69,3.5,0.085,29,153,1.0001,3.5,0.56,11.0,7
8.3,0.53,0.34,3.0,0.121,33,115,0.9955,3.32,0.68,10.7,5
6.5,0.4,0.08,0.4,0.089,10,79,0.9971,3.34,0.74,9.9,6
9.7,0.69,0.74,4.2,0.121,40,53,0.9952,3.22,0.84,9.4,5
6.2,0.5,0.63,0.6,0.083,21,82,0.9941,3.26,0.9,8.4,5
8.7,0.38,0.09,0.6,0.091,28,54,0.9955,3.4,0.59,10.7,5
5.0,0.47,0.69,1.9,-0.007,11,116,0.9966,3.49,0.42,8.8,5
6.0,0.59,0.65,2.2,0.13,34,93,0.9958,3.29,0.58,10.5,5
8.6,0.42,0.39,2.2,0.103,8,91,0.9953,3.24,0.69,10.1,6
9.6,0.38,0.44,0.2,0.134,22,116,0.9939,3.31,0.49,11.1,5
8.6,0.56,0.3,5.2,-0.049,8,30,0.9965,3.4,0.49,10.1,6
8.1,0.56,0.04,0.8,0.185,15,16,0.9937,3.09,0.71,10.1,6
7.8,0.43,0.25,0.3,0.08,17,79,0.9982,2.97,0.64,11.1,5
5.8,0.44,0.6,5.5,0.139,23,136,0.9969,3.23,0.66,10.7,6
7.1,0.56,0.0,7.8,0.038,24,152,0.9938,3.13,0.52,10.7,5
7.5,0.27,0.25,5.0,0.116,19,157,0.9961,3.23,0.61,10.9,6
10.1,0.28,0.3,4.1,0.037,5,152,0.9952,3.29,0.49,8.9,5
8.9,0.4,0.4,2.7,0.058,32,158,0.9973,3.24,0.8,11.2,5
5.3,0.48,0.69,2.0,0.177,44,129,0.9994,3.53,0.83,11.0,5
