App,Category,Rating,Reviews,Size,Installs,Type,Price
App_1,PRODUCTIVITY,3.2,129705,5.4M,"10,000+",Free,0
App_2,BUSINESS,4.5,415926,5.4M,"5,000+",Free,0
App_3,FINANCE,4.1,296774,100M,"10,000+",Free,0
App_4,PRODUCTIVITY,4.5,234296,5.4M,100+,Free,0
App_5,TOOLS,3.8,128158,Varies with device,"10,000+",Paid,0
App_6,FINANCE,4.5,282713,80M,"10,000+",Free,0
App_7,FINANCE,4.1,486271,32M,"1,000,000+",Free,0
App_8,PRODUCTIVITY,5.0,355550,32M,"10,000+",Free,0
App_9,FAMILY,3.8,192724,100M,"10,000+",Paid,0
App_10,TOOLS,4.1,207621,5.4M,100+,Free,0
App_11,PRODUCTIVITY,3.8,283886,5.4M,"1,000,000+",Free,0
App_12,TOOLS,5.0,259757,15M,"50,000,000+",Free,0
App_13,TOOLS,4.8,91372,80M,100+,Free,0
App_14,FINANCE,4.1,423580,Varies with device,100+,Paid,0
App_15,BUSINESS,4.5,275997,32M,"50,000,000+",Free,0
App_16,TOOLS,4.8,114075,15M,"10,000+",Free,0
App_17,LIFESTYLE,4.5,333880,15M,"5,000+",Free,0
App_18,FINANCE,4.5,17650,100M,"1,000,000+",Paid,0
App_19,FAMILY,4.1,52538,32M,"5,000+",Paid,$0.99
App_20,BUSINESS,3.8,300567,100M,"50,000,000+",Free,0
App_21,LIFESTYLE,4.8,259224,Varies with device,100+,Paid,0
App_22,LIFESTYLE,5.0,314792,15M,100+,Paid,0
App_23,FAMILY,4.5,445962,15M,"1,000,000+",Free,0
App_24,BUSINESS,4.1,110143,80M,100+,Free,0
App_25,FINANCE,4.1,368511,Varies with device,100+,Free,0
App_26,GAME,4.5,199948,15M,"1,000,000+",Free,$0.99
App_27,BUSINESS,4.8,150169,Varies with device,"1,000,000+",Free,0
App_28,FAMILY,4.8,172512,32M,"50,000,000+",Free,0
App_29,LIFESTYLE,4.5,155586,5.4M,100+,Free,0
App_30,FINANCE,4.5,400340,15M,100+,Free,0
App_31,BUSINESS,3.8,341013,80M,"50,000,000+",Free,0
App_32,GAME,3.8,361811,32M,"10,000+",Free,0
App_33,GAME,4.8,404201,Varies with device,"10,000+",Paid,0
App_34,TOOLS,4.5,11033,100M,"10,000+",Free,$4.99
App_35,TOOLS,3.2,21457,32M,"50,000,000+",Free,0
