Customer_ID,Join_Date,Gender,Age,Income
101,nan,Female,150.0,UNKNOWN
102,2023/05/20,nan,,50000
103,"Jan 15, 2023",Male,30.0,"$45,000"
104,2023/05/20,Female,30.0,UNKNOWN
105,2023/05/20,male,30.0,UNKNOWN
106,15/01/2023,Male,22.0,"$45,000"
107,"Jan 15, 2023",nan,-5.0,50000
108,"Jan 15, 2023",nan,22.0,"$45,000"
109,"Jan 15, 2023",F,,"$120,000"
110,2023/05/20,female,22.0,UNKNOWN
111,nan,M,35.0,nan
112,"Jan 15, 2023",Female,-5.0,nan
113,2023/05/20,F,-5.0,"65,000.50"
114,15/01/2023,M,,"$45,000"
115,nan,M,45.0,"$45,000"
116,15/01/2023,Male,35.0,"65,000.50"
117,nan,M,150.0,"65,000.50"
118,2023/05/20,female,22.0,"65,000.50"
119,2023-01-15,nan,28.0,UNKNOWN
120,nan,F,22.0,"$120,000"
121,15/01/2023,M,30.0,"$45,000"
122,2023/05/20,Male,22.0,UNKNOWN
123,nan,female,150.0,"65,000.50"
124,2023-01-15,male,22.0,"$45,000"
125,2023-01-15,nan,35.0,UNKNOWN
126,"Jan 15, 2023",nan,35.0,"$120,000"
127,"Jan 15, 2023",F,-5.0,UNKNOWN
128,15/01/2023,nan,,"$120,000"
129,nan,M,45.0,"65,000.50"
130,nan,Male,28.0,"$120,000"
131,"Jan 15, 2023",nan,30.0,"$45,000"
132,nan,nan,22.0,"65,000.50"
133,nan,male,22.0,"$45,000"
134,2023-01-15,male,150.0,nan
135,"Jan 15, 2023",Female,,50000
136,2023/05/20,female,35.0,"$120,000"
137,"Jan 15, 2023",M,28.0,50000
138,2023/05/20,nan,-5.0,50000
139,2023-01-15,nan,35.0,"$120,000"
140,15/01/2023,Male,30.0,"65,000.50"
141,nan,Female,,nan
142,2023-01-15,female,30.0,"$45,000"
143,nan,Female,45.0,UNKNOWN
144,15/01/2023,F,-5.0,"$45,000"
145,15/01/2023,female,45.0,UNKNOWN
146,2023-01-15,nan,150.0,"$45,000"
147,15/01/2023,nan,30.0,"$120,000"
148,2023/05/20,female,150.0,nan
149,15/01/2023,nan,22.0,UNKNOWN
150,nan,M,45.0,"65,000.50"
151,nan,female,,"$45,000"
152,nan,Female,30.0,"$45,000"
153,nan,female,28.0,UNKNOWN
154,2023/05/20,nan,-5.0,"65,000.50"
155,"Jan 15, 2023",M,35.0,"65,000.50"
156,2023-01-15,M,,"$120,000"
157,nan,F,,"$120,000"
158,15/01/2023,Female,150.0,"$120,000"
159,nan,male,45.0,"$120,000"
160,15/01/2023,male,30.0,"$120,000"
161,15/01/2023,female,30.0,"$120,000"
162,nan,F,22.0,nan
163,2023/05/20,Male,22.0,"65,000.50"
164,15/01/2023,female,-5.0,"$120,000"
165,15/01/2023,F,150.0,"65,000.50"
166,nan,Female,,"65,000.50"
167,15/01/2023,Female,30.0,50000
168,15/01/2023,Female,28.0,nan
169,nan,Female,150.0,"$120,000"
170,nan,Female,-5.0,"$45,000"
171,2023-01-15,F,-5.0,UNKNOWN
172,2023/05/20,F,150.0,"$45,000"
173,2023/05/20,M,-5.0,nan
174,15/01/2023,male,150.0,UNKNOWN
175,2023/05/20,nan,35.0,nan
176,15/01/2023,Female,150.0,"65,000.50"
177,2023-01-15,Male,45.0,UNKNOWN
178,nan,nan,150.0,"65,000.50"
179,nan,F,-5.0,"$45,000"
180,nan,Male,30.0,"$45,000"
181,2023/05/20,Male,45.0,UNKNOWN
182,2023-01-15,Male,-5.0,UNKNOWN
183,2023/05/20,M,22.0,"$120,000"
184,2023/05/20,F,22.0,nan
185,2023-01-15,Male,30.0,"$120,000"
186,2023-01-15,Female,30.0,nan
187,2023-01-15,female,45.0,"$120,000"
188,2023-01-15,Male,35.0,"65,000.50"
189,nan,M,30.0,UNKNOWN
190,"Jan 15, 2023",nan,22.0,"$45,000"
191,"Jan 15, 2023",F,150.0,nan
192,2023-01-15,M,-5.0,nan
193,"Jan 15, 2023",Male,22.0,"$45,000"
194,"Jan 15, 2023",F,22.0,"$120,000"
195,2023-01-15,female,35.0,nan
101,"Jan 15, 2023",Male,45.0,"65,000.50"
102,2023/05/20,M,45.0,UNKNOWN
103,15/01/2023,male,,"$45,000"
104,15/01/2023,Female,35.0,UNKNOWN
105,2023-01-15,nan,150.0,nan
